insight_id;timestamp;supplier_id;supplier_name;region;country;theme;severity;insight_desc
3;2025.11.24;72;Ho Chi Minh Garment Group;Southeast Asia;Vietnam;ESG Environment;Medium;A protest by Vietnamese fishermen over alleged environmental harms halted polyester shipments at a coastal port (2025‑01‑16), indicating potential logistics interruptions for Ho Chi Minh Garment Group’s polyester inputs and heightened scrutiny of upstream environmental practices.
4;2025.11.24;72;Ho Chi Minh Garment Group;Southeast Asia;Vietnam;Delivery Performance;Medium;Typhoon‑related port closures in Vietnam (2024‑12‑07) delayed export of metal buckle components, suggesting Ho Chi Minh Garment Group could experience similar shipment bottlenecks during extreme weather events.
5;2025.11.24;72;Ho Chi Minh Garment Group;Southeast Asia;Vietnam;ESG Environment;Low;Vietnamese peers such as Hue Fabric & Thread have adopted digital product passports, pineapple‑leaf fibre and closed‑loop dyeing (2024‑08‑13 to 2024‑09‑28), raising sector‑wide ESG benchmarks that Ho Chi Minh Garment Group may need to match to retain buyer confidence.
1;2025.11.24;80;Delhi Apparel & Exports Inc.;South Asia;India;ESG Social;High;Delhi Apparel & Exports Inc. faces an international embargo after verified reports of widespread bonded labor and poor dormitory conditions, exposing severe social compliance failures and high reputational risk.
2;2025.11.24;80;Delhi Apparel & Exports Inc.;South Asia;India;Business Code of Conduct;High;The company fabricated organic cotton certifications, falsely labeling conventionally grown cotton as certified organic, violating trade regulations and undermining trust in its ESG claims.
3;2025.11.24;80;Delhi Apparel & Exports Inc.;South Asia;India;ESG Environment;High;A civil suit alleges Delhi Apparel & Exports polluted local aquifers with untreated effluent, causing long‑term groundwater contamination and exposing significant environmental liability.
4;2025.11.24;80;Delhi Apparel & Exports Inc.;South Asia;India;ESG Environment;High;Regulators cited illegal stockpiling of hazardous textile waste on non‑designated land, breaching environmental permits and raising severe compliance and pollution concerns.
5;2025.11.24;80;Delhi Apparel & Exports Inc.;South Asia;India;ESG Governance;Medium;Despite available grant funding, the firm postponed a high‑efficiency biomass boiler upgrade, delaying emissions reductions and increasing risk of missing national climate targets.
1;2025.11.24;59;Dhaka Textiles & Apparel (Pvt.) Ltd.;South Asia;Bangladesh;ESG Social;High;Labor unions' widespread strike across Dhaka industrial parks (2024-08-10) halted ~70% of cotton export capacity, posing high social and supply continuity risk for Dhaka Textiles & Apparel (Pvt.) Ltd.
2;2025.11.24;59;Dhaka Textiles & Apparel (Pvt.) Ltd.;South Asia;Bangladesh;ESG Environment;Medium;Flash floods (2024-11-07) caused power outages in major linen manufacturing zones, potentially disrupting Dhaka Textiles' production schedules and highlighting medium environmental risk.
3;2025.11.24;59;Dhaka Textiles & Apparel (Pvt.) Ltd.;South Asia;Bangladesh;ESG Environment;Medium;Tropical storm damage to critical button production infrastructure (2024-10-04) underscores regional natural disaster exposure that may affect logistics and raw material flow for Dhaka Textiles, medium severity.
4;2025.11.24;59;Dhaka Textiles & Apparel (Pvt.) Ltd.;South Asia;Bangladesh;Workplace Safety & Health;Medium;A large factory fire at a nylon weaving facility in Bangladesh (2024-12-13) raises concerns about fire safety standards across the sector, indicating medium workplace safety risk for Dhaka Textiles.
5;2025.11.24;59;Dhaka Textiles & Apparel (Pvt.) Ltd.;South Asia;Bangladesh;Certification & Audit;Medium;No evidence of ESG certifications or recent sustainability initiatives for Dhaka Textiles & Apparel (Pvt.) Ltd., indicating a gap in certification & audit compliance and medium governance risk.
1;2025.11.24;65;Rajshahi Silk & Dyeing (PLC);South Asia;Bangladesh;ESG Environment;Medium;Company pledged 100% on‑site solar power for all new facilities by 2026, reducing carbon intensity but requiring capital investment and grid integration monitoring.
2;2025.11.24;65;Rajshahi Silk & Dyeing (PLC);South Asia;Bangladesh;ESG Governance;Low;AI‑driven traceability system launched to verify raw silk origin, enhancing transparency and compliance with fair‑trade and animal‑welfare standards.
3;2025.11.24;65;Rajshahi Silk & Dyeing (PLC);South Asia;Bangladesh;ESG Environment;Medium;"Bangladesh’s recent flash floods (Nov 2024) caused power outages in linen zones;similar weather events could disrupt silk processing and logistics for Rajshahi."
4;2025.11.24;65;Rajshahi Silk & Dyeing (PLC);South Asia;Bangladesh;ESG Social;Medium;"Widespread labor strikes in Dhaka industrial parks (Aug 2024) highlighted wage and safety concerns;potential spill‑over risk to silk sector workers."
5;2025.11.24;65;Rajshahi Silk & Dyeing (PLC);South Asia;Bangladesh;Certification & Audit;Low;"No public record of labor or environmental violations;however, third‑party ESG audits are recommended to validate sustainability claims and mitigate reputational risk."
1;2025.11.24;65;Rajshahi Silk & Dyeing (PLC);South Asia;Bangladesh;ESG Environment;Medium;"Rajshahi Silk & Dyeing (PLC) pledged 100% on‑site solar power for all new facilities by 2026, reducing carbon emissions and aligning with ESG Environment goals;delay could expose the company to reputational risk."
2;2025.11.24;65;Rajshahi Silk & Dyeing (PLC);South Asia;Bangladesh;ESG Social;High;"AI‑driven traceability system launched by Rajshahi Silk & Dyeing (PLC) ensures raw silk origin verification, fair‑trade compliance and animal‑welfare standards, strengthening ESG Social controls;failure could trigger supply‑chain bans."
3;2025.11.24;65;Rajshahi Silk & Dyeing (PLC);South Asia;Bangladesh;ESG Social;High;Recent nationwide labor union strikes in Bangladesh’s industrial parks raise risk of work stoppages at Rajshahi Silk & Dyeing (PLC), potentially impacting production schedules and ESG Social compliance.
4;2025.11.24;65;Rajshahi Silk & Dyeing (PLC);South Asia;Bangladesh;ESG Environment;Medium;Bangladesh’s increasing flood events, such as the November 2024 flash floods, threaten power supply and facility operations at Rajshahi Silk & Dyeing (PLC), posing ESG Environment and business continuity risks.
5;2025.11.24;65;Rajshahi Silk & Dyeing (PLC);South Asia;Bangladesh;ESG Governance;Medium;Emerging EU sustainability tariffs on textile imports lacking verified environmental certifications could affect Rajshahi Silk & Dyeing (PLC)’s market access, urging proactive certification and ESG Governance measures.
1;2025.11.24;61;Knit Asia Trading Group;South Asia;Bangladesh;ESG Social;High;Knit Asia Trading Group sources cotton from Bangladesh where recent labor unrest and union strikes have disrupted factories, raising risk of forced labor allegations and supply interruptions.
2;2025.11.24;61;Knit Asia Trading Group;South Asia;Bangladesh;ESG Environment;Medium;Bangladesh's new sustainability tariff on nylon imports may increase costs for Knit Asia's nylon sourcing, requiring verification of environmental certifications to avoid premium duties.
3;2025.11.24;61;Knit Asia Trading Group;South Asia;Bangladesh;Certification & Audit;Medium;Knit Asia Trading Group lacks publicly disclosed third‑party ESG or sustainability certifications, creating audit gaps that could impede buyer due‑diligence and increase compliance risk.
4;2025.11.24;61;Knit Asia Trading Group;South Asia;Bangladesh;Business Code of Conduct;High;"Recent investigations in Bangladesh uncovered child‑labor in subcontractor farms;without a robust supplier code of conduct, Knit Asia may face severe reputational damage."
5;2025.11.24;61;Knit Asia Trading Group;South Asia;Bangladesh;Delivery Performance;Low;Power outages and transport bottlenecks in Indian and Bangladeshi logistics corridors can cause minor shipment delays for Knit Asia, affecting delivery performance.
