date;supplier_name;country;region;product;unit_price;uom;volume;currency;value
2024.07.31;Silk Road Manufacturing Group;China;East Asia;Buckle;6318.53;MT;163911.096;USD;1035677797
2024.08.31;Silk Road Manufacturing Group;China;East Asia;Buckle;6624.98;MT;181164.895;USD;1200213713
2024.09.30;Silk Road Manufacturing Group;China;East Asia;Buckle;8146.14;MT;186767.934;USD;1521438195
2024.10.31;Silk Road Manufacturing Group;China;East Asia;Buckle;6595.91;MT;195661.645;USD;1290566196
2024.11.30;Silk Road Manufacturing Group;China;East Asia;Buckle;8705.42;MT;194327.588;USD;1691702490
2024.12.31;Silk Road Manufacturing Group;China;East Asia;Buckle;8195.32;MT;202776.614;USD;1661819620
2025.01.31;Silk Road Manufacturing Group;China;East Asia;Buckle;5973.81;MT;152082.460;USD;908511338
2025.02.28;Silk Road Manufacturing Group;China;East Asia;Buckle;8207.16;MT;126735.383;USD;1040137461
2025.03.31;Silk Road Manufacturing Group;China;East Asia;Buckle;6049.86;MT;177874.222;USD;1076114370
2025.04.30;Silk Road Manufacturing Group;China;East Asia;Buckle;7392.84;MT;186767.934;USD;1380745805
2025.05.31;Silk Road Manufacturing Group;China;East Asia;Buckle;6285.56;MT;174316.738;USD;1095677736
2025.06.30;Silk Road Manufacturing Group;China;East Asia;Buckle;7472.52;MT;163644.285;USD;1222835656
2024.07.31;Silk Road Manufacturing Group;China;East Asia;Nylon;6522.24;MT;55295.460;USD;360650403
2024.08.31;Silk Road Manufacturing Group;China;East Asia;Nylon;4736.34;MT;61116.034;USD;289466378
2024.09.30;Silk Road Manufacturing Group;China;East Asia;Nylon;4916.71;MT;63006.221;USD;309783540
2024.10.31;Silk Road Manufacturing Group;China;East Asia;Nylon;4761.04;MT;66006.517;USD;314259801
2024.11.30;Silk Road Manufacturing Group;China;East Asia;Nylon;4764.93;MT;65556.473;USD;312372328
2024.12.31;Silk Road Manufacturing Group;China;East Asia;Nylon;6070.32;MT;68406.754;USD;415250803
2025.01.31;Silk Road Manufacturing Group;China;East Asia;Nylon;4614.92;MT;51305.066;USD;236768771
2025.02.28;Silk Road Manufacturing Group;China;East Asia;Nylon;5321.51;MT;42754.221;USD;227517144
2025.03.31;Silk Road Manufacturing Group;China;East Asia;Nylon;5604.12;MT;60005.925;USD;336280552
2025.04.30;Silk Road Manufacturing Group;China;East Asia;Nylon;6604.25;MT;63006.221;USD;416108986
2025.05.31;Silk Road Manufacturing Group;China;East Asia;Nylon;5664.52;MT;58805.806;USD;333106924
2025.06.30;Silk Road Manufacturing Group;China;East Asia;Nylon;6638.90;MT;55205.451;USD;366503552
2024.07.31;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Polyester;1590.34;MT;130126.154;USD;206945159
2024.08.31;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Polyester;1854.96;MT;143823.644;USD;266786986
2024.09.30;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Polyester;1909.59;MT;148271.798;USD;283138214
2024.10.31;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Polyester;1402.19;MT;155332.359;USD;217805579
2024.11.30;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Polyester;1779.40;MT;154273.275;USD;274513213
2024.12.31;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Polyester;1298.85;MT;160980.809;USD;209090187
2025.01.31;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Polyester;1539.89;MT;120735.607;USD;185919397
2025.02.28;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Polyester;1397.55;MT;100613.006;USD;140612017
2025.03.31;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Polyester;1644.93;MT;141211.236;USD;232282104
2025.04.30;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Polyester;1412.62;MT;148271.798;USD;209451127
2025.05.31;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Polyester;1882.08;MT;138387.011;USD;260455164
2025.06.30;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Polyester;1887.34;MT;129914.337;USD;245193096
2024.07.31;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Buckle;9952.27;MT;163911.096;USD;1631287821
2024.08.31;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Buckle;7502.33;MT;181164.895;USD;1359158594
2024.09.30;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Buckle;8473.95;MT;186767.934;USD;1582661513
2024.10.31;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Buckle;9424.40;MT;195661.645;USD;1843993088
2024.11.30;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Buckle;9221.57;MT;194327.588;USD;1792004579
2024.12.31;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Buckle;9475.49;MT;202776.614;USD;1921408053
2025.01.31;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Buckle;7402.00;MT;152082.460;USD;1125715069
2025.02.28;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Buckle;7508.17;MT;126735.383;USD;951550638
2025.03.31;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Buckle;8681.58;MT;177874.222;USD;1544229014
2025.04.30;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Buckle;7547.56;MT;186767.934;USD;1409642226
2025.05.31;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Buckle;7568.68;MT;174316.738;USD;1319347473
2025.06.30;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Buckle;9587.17;MT;163644.285;USD;1568885089
2024.07.31;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Denim;6426.04;MT;29618.602;USD;190330370
2024.08.31;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Denim;7334.59;MT;32736.350;USD;240107585
2024.09.30;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Denim;7180.36;MT;33748.814;USD;242328804
2024.10.31;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Denim;7453.81;MT;35355.901;USD;263536256
2024.11.30;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Denim;7270.29;MT;35114.838;USD;255294983
2024.12.31;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Denim;7223.71;MT;36641.570;USD;264688216
2025.01.31;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Denim;6075.45;MT;27481.177;USD;166960516
2025.02.28;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Denim;5047.59;MT;22900.981;USD;115594749
2025.03.31;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Denim;6811.34;MT;32141.728;USD;218928149
2025.04.30;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Denim;7081.06;MT;33748.814;USD;238977242
2025.05.31;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Denim;7182.62;MT;31498.893;USD;226244481
2025.06.30;Dragon Weaving & Dyeing (Pty) Ltd.;China;East Asia;Denim;5489.70;MT;29570.390;USD;162332571
2024.07.31;China Apparel Holdings Inc.;China;East Asia;Zipper;11936.93;MT;4232.036;USD;50517504
2024.08.31;China Apparel Holdings Inc.;China;East Asia;Zipper;11072.12;MT;4677.514;USD;51790015
2024.09.30;China Apparel Holdings Inc.;China;East Asia;Zipper;8815.72;MT;4822.179;USD;42510969
2024.10.31;China Apparel Holdings Inc.;China;East Asia;Zipper;8536.60;MT;5051.807;USD;43125238
2024.11.30;China Apparel Holdings Inc.;China;East Asia;Zipper;9913.64;MT;5017.363;USD;49740338
2024.12.31;China Apparel Holdings Inc.;China;East Asia;Zipper;9686.85;MT;5235.509;USD;50715583
2025.01.31;China Apparel Holdings Inc.;China;East Asia;Zipper;9601.53;MT;3926.632;USD;37701671
2025.02.28;China Apparel Holdings Inc.;China;East Asia;Zipper;10720.86;MT;3272.193;USD;35080723
2025.03.31;China Apparel Holdings Inc.;China;East Asia;Zipper;8422.44;MT;4592.552;USD;38680500
2025.04.30;China Apparel Holdings Inc.;China;East Asia;Zipper;11452.14;MT;4822.179;USD;55224288
2025.05.31;China Apparel Holdings Inc.;China;East Asia;Zipper;11799.88;MT;4500.701;USD;53107726
2025.06.30;China Apparel Holdings Inc.;China;East Asia;Zipper;11512.23;MT;4225.147;USD;48640857
2024.07.31;China Apparel Holdings Inc.;China;East Asia;Linen;14568.75;MT;3722.011;USD;54225042
2024.08.31;China Apparel Holdings Inc.;China;East Asia;Linen;15123.57;MT;4113.801;USD;62215348
2024.09.30;China Apparel Holdings Inc.;China;East Asia;Linen;20870.07;MT;4241.032;USD;88510635
2024.10.31;China Apparel Holdings Inc.;China;East Asia;Linen;14656.70;MT;4442.986;USD;65119530
2024.11.30;China Apparel Holdings Inc.;China;East Asia;Linen;14321.40;MT;4412.693;USD;63195957
2024.12.31;China Apparel Holdings Inc.;China;East Asia;Linen;16935.42;MT;4604.549;USD;77979952
2025.01.31;China Apparel Holdings Inc.;China;East Asia;Linen;19552.61;MT;3453.412;USD;67523204
2025.02.28;China Apparel Holdings Inc.;China;East Asia;Linen;15532.74;MT;2877.843;USD;44700799
2025.03.31;China Apparel Holdings Inc.;China;East Asia;Linen;15755.52;MT;4039.078;USD;63637790
2025.04.30;China Apparel Holdings Inc.;China;East Asia;Linen;15015.83;MT;4241.032;USD;63682607
2025.05.31;China Apparel Holdings Inc.;China;East Asia;Linen;15838.18;MT;3958.297;USD;62692232
2025.06.30;China Apparel Holdings Inc.;China;East Asia;Linen;15882.50;MT;3715.952;USD;59018612
2024.07.31;China Apparel Holdings Inc.;China;East Asia;Silk;76064.72;MT;232.759;USD;17704731
2024.08.31;China Apparel Holdings Inc.;China;East Asia;Silk;79181.54;MT;257.260;USD;20370219
2024.09.30;China Apparel Holdings Inc.;China;East Asia;Silk;98816.49;MT;265.216;USD;26207732
2024.10.31;China Apparel Holdings Inc.;China;East Asia;Silk;74058.26;MT;277.846;USD;20576754
2024.11.30;China Apparel Holdings Inc.;China;East Asia;Silk;98959.22;MT;275.951;USD;27307908
2024.12.31;China Apparel Holdings Inc.;China;East Asia;Silk;72947.24;MT;287.949;USD;21005083
2025.01.31;China Apparel Holdings Inc.;China;East Asia;Silk;74717.53;MT;215.962;USD;16136128
2025.02.28;China Apparel Holdings Inc.;China;East Asia;Silk;90418.96;MT;179.968;USD;16272530
2025.03.31;China Apparel Holdings Inc.;China;East Asia;Silk;104679.60;MT;252.587;USD;26440688
2025.04.30;China Apparel Holdings Inc.;China;East Asia;Silk;76186.80;MT;265.216;USD;20205972
2025.05.31;China Apparel Holdings Inc.;China;East Asia;Silk;91147.67;MT;247.535;USD;22562248
2025.06.30;China Apparel Holdings Inc.;China;East Asia;Silk;75337.32;MT;232.380;USD;17506879
2024.07.31;Fujian Fabric Works LLP;China;East Asia;Nylon;6504.04;MT;55295.460;USD;359643669
2024.08.31;Fujian Fabric Works LLP;China;East Asia;Nylon;9040.24;MT;61116.034;USD;552503892
2024.09.30;Fujian Fabric Works LLP;China;East Asia;Nylon;8670.38;MT;63006.221;USD;546288063
2024.10.31;Fujian Fabric Works LLP;China;East Asia;Nylon;8817.74;MT;66006.517;USD;582028501
2024.11.30;Fujian Fabric Works LLP;China;East Asia;Nylon;8666.36;MT;65556.473;USD;568135728
2024.12.31;Fujian Fabric Works LLP;China;East Asia;Nylon;6579.96;MT;68406.754;USD;450113745
2025.01.31;Fujian Fabric Works LLP;China;East Asia;Nylon;7336.18;MT;51305.066;USD;376383390
2025.02.28;Fujian Fabric Works LLP;China;East Asia;Nylon;8276.50;MT;42754.221;USD;353855297
2025.03.31;Fujian Fabric Works LLP;China;East Asia;Nylon;6332.98;MT;60005.925;USD;380016159
2025.04.30;Fujian Fabric Works LLP;China;East Asia;Nylon;6669.30;MT;63006.221;USD;420207554
2025.05.31;Fujian Fabric Works LLP;China;East Asia;Nylon;6470.09;MT;58805.806;USD;380478912
2025.06.30;Fujian Fabric Works LLP;China;East Asia;Nylon;6741.19;MT;55205.451;USD;372150166
2024.07.31;Fujian Fabric Works LLP;China;East Asia;Zipper;9949.00;MT;4232.036;USD;42104540
2024.08.31;Fujian Fabric Works LLP;China;East Asia;Zipper;9866.37;MT;4677.514;USD;46150070
2024.09.30;Fujian Fabric Works LLP;China;East Asia;Zipper;10034.05;MT;4822.179;USD;48386007
2024.10.31;Fujian Fabric Works LLP;China;East Asia;Zipper;7692.12;MT;5051.807;USD;38859114
2024.11.30;Fujian Fabric Works LLP;China;East Asia;Zipper;7161.23;MT;5017.363;USD;35930485
2024.12.31;Fujian Fabric Works LLP;China;East Asia;Zipper;9379.96;MT;5235.509;USD;49108858
2025.01.31;Fujian Fabric Works LLP;China;East Asia;Zipper;7131.05;MT;3926.632;USD;28001015
2025.02.28;Fujian Fabric Works LLP;China;East Asia;Zipper;9553.36;MT;3272.193;USD;31260423
2025.03.31;Fujian Fabric Works LLP;China;East Asia;Zipper;10060.71;MT;4592.552;USD;46204309
2025.04.30;Fujian Fabric Works LLP;China;East Asia;Zipper;9997.71;MT;4822.179;USD;48210725
2025.05.31;Fujian Fabric Works LLP;China;East Asia;Zipper;10169.14;MT;4500.701;USD;45768259
2025.06.30;Fujian Fabric Works LLP;China;East Asia;Zipper;7738.50;MT;4225.147;USD;32696295
2024.07.31;Fujian Fabric Works LLP;China;East Asia;Linen;16369.45;MT;3722.011;USD;60927269
2024.08.31;Fujian Fabric Works LLP;China;East Asia;Linen;23553.19;MT;4113.801;USD;96893149
2024.09.30;Fujian Fabric Works LLP;China;East Asia;Linen;23449.61;MT;4241.032;USD;99450569
2024.10.31;Fujian Fabric Works LLP;China;East Asia;Linen;16931.95;MT;4442.986;USD;75228414
2024.11.30;Fujian Fabric Works LLP;China;East Asia;Linen;16544.60;MT;4412.693;USD;73006234
2024.12.31;Fujian Fabric Works LLP;China;East Asia;Linen;19028.64;MT;4604.549;USD;87618291
2025.01.31;Fujian Fabric Works LLP;China;East Asia;Linen;21246.96;MT;3453.412;USD;73374511
2025.02.28;Fujian Fabric Works LLP;China;East Asia;Linen;17452.59;MT;2877.843;USD;50225828
2025.03.31;Fujian Fabric Works LLP;China;East Asia;Linen;23467.87;MT;4039.078;USD;94788556
2025.04.30;Fujian Fabric Works LLP;China;East Asia;Linen;23385.40;MT;4241.032;USD;99178234
2025.05.31;Fujian Fabric Works LLP;China;East Asia;Linen;17020.12;MT;3958.297;USD;67370665
2025.06.30;Fujian Fabric Works LLP;China;East Asia;Linen;20362.37;MT;3715.952;USD;75665593
2024.07.31;Oriental Garments & Processing Ltd.;China;East Asia;Cotton;9441.67;MT;18771.146;USD;177230987
2024.08.31;Oriental Garments & Processing Ltd.;China;East Asia;Cotton;8366.10;MT;20747.056;USD;173571956
2024.09.30;Oriental Garments & Processing Ltd.;China;East Asia;Cotton;9269.10;MT;21388.717;USD;198254263
2024.10.31;Oriental Garments & Processing Ltd.;China;East Asia;Cotton;8940.88;MT;22407.228;USD;200340314
2024.11.30;Oriental Garments & Processing Ltd.;China;East Asia;Cotton;9163.42;MT;22254.451;USD;203926971
2024.12.31;Oriental Garments & Processing Ltd.;China;East Asia;Cotton;9106.16;MT;23222.036;USD;211463550
2025.01.31;Oriental Garments & Processing Ltd.;China;East Asia;Cotton;9274.45;MT;17416.527;USD;161528676
2025.02.28;Oriental Garments & Processing Ltd.;China;East Asia;Cotton;9727.30;MT;14513.772;USD;141179845
2025.03.31;Oriental Garments & Processing Ltd.;China;East Asia;Cotton;7311.97;MT;20370.207;USD;148946393
2025.04.30;Oriental Garments & Processing Ltd.;China;East Asia;Cotton;9456.82;MT;21388.717;USD;202269338
2025.05.31;Oriental Garments & Processing Ltd.;China;East Asia;Cotton;8440.09;MT;19962.803;USD;168487859
2025.06.30;Oriental Garments & Processing Ltd.;China;East Asia;Cotton;9095.30;MT;18740.590;USD;170451253
2024.07.31;Oriental Garments & Processing Ltd.;China;East Asia;Polyester;2462.98;MT;130126.154;USD;320497932
2024.08.31;Oriental Garments & Processing Ltd.;China;East Asia;Polyester;1863.14;MT;143823.644;USD;267963372
2024.09.30;Oriental Garments & Processing Ltd.;China;East Asia;Polyester;1786.91;MT;148271.798;USD;264948706
2024.10.31;Oriental Garments & Processing Ltd.;China;East Asia;Polyester;2409.08;MT;155332.359;USD;374208241
2024.11.30;Oriental Garments & Processing Ltd.;China;East Asia;Polyester;2107.26;MT;154273.275;USD;325094383
2024.12.31;Oriental Garments & Processing Ltd.;China;East Asia;Polyester;1767.75;MT;160980.809;USD;284574179
2025.01.31;Oriental Garments & Processing Ltd.;China;East Asia;Polyester;1727.31;MT;120735.607;USD;208548003
2025.02.28;Oriental Garments & Processing Ltd.;China;East Asia;Polyester;2232.20;MT;100613.006;USD;224588723
2025.03.31;Oriental Garments & Processing Ltd.;China;East Asia;Polyester;2247.08;MT;141211.236;USD;317312640
2025.04.30;Oriental Garments & Processing Ltd.;China;East Asia;Polyester;1742.69;MT;148271.798;USD;258391509
2025.05.31;Oriental Garments & Processing Ltd.;China;East Asia;Polyester;2369.56;MT;138387.011;USD;327916871
2025.06.30;Oriental Garments & Processing Ltd.;China;East Asia;Polyester;2391.92;MT;129914.337;USD;310744553
2024.07.31;Oriental Garments & Processing Ltd.;China;East Asia;Silk;78453.85;MT;232.759;USD;18260820
2024.08.31;Oriental Garments & Processing Ltd.;China;East Asia;Silk;75244.08;MT;257.260;USD;19357269
2024.09.30;Oriental Garments & Processing Ltd.;China;East Asia;Silk;78109.58;MT;265.216;USD;20715923
2024.10.31;Oriental Garments & Processing Ltd.;China;East Asia;Silk;77766.08;MT;277.846;USD;21606958
2024.11.30;Oriental Garments & Processing Ltd.;China;East Asia;Silk;75698.34;MT;275.951;USD;20889041
2024.12.31;Oriental Garments & Processing Ltd.;China;East Asia;Silk;84188.78;MT;287.949;USD;24242074
2025.01.31;Oriental Garments & Processing Ltd.;China;East Asia;Silk;83447.27;MT;215.962;USD;18021418
2025.02.28;Oriental Garments & Processing Ltd.;China;East Asia;Silk;63851.83;MT;179.968;USD;11491294
2025.03.31;Oriental Garments & Processing Ltd.;China;East Asia;Silk;66122.61;MT;252.587;USD;16701700
2025.04.30;Oriental Garments & Processing Ltd.;China;East Asia;Silk;90418.97;MT;265.216;USD;23980572
2025.05.31;Oriental Garments & Processing Ltd.;China;East Asia;Silk;77553.13;MT;247.535;USD;19197121
2025.06.30;Oriental Garments & Processing Ltd.;China;East Asia;Silk;65576.52;MT;232.380;USD;15238665
2024.07.31;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Linen;20193.24;MT;3722.011;USD;75159453
2024.08.31;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Linen;20536.44;MT;4113.801;USD;84482831
2024.09.30;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Linen;15057.06;MT;4241.032;USD;63857475
2024.10.31;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Linen;14656.70;MT;4442.986;USD;65119530
2024.11.30;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Linen;14321.40;MT;4412.693;USD;63195957
2024.12.31;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Linen;14842.20;MT;4604.549;USD;68341630
2025.01.31;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Linen;19155.43;MT;3453.412;USD;66151585
2025.02.28;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Linen;14855.71;MT;2877.843;USD;42752407
2025.03.31;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Linen;17977.55;MT;4039.078;USD;72612722
2025.04.30;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Linen;20128.59;MT;4241.032;USD;85365996
2025.05.31;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Linen;15147.84;MT;3958.297;USD;59959640
2025.06.30;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Linen;15882.50;MT;3715.952;USD;59018612
2024.07.31;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Nylon;6930.33;MT;55295.460;USD;383216036
2024.08.31;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Nylon;6759.70;MT;61116.034;USD;413125989
2024.09.30;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Nylon;5066.49;MT;63006.221;USD;319220446
2024.10.31;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Nylon;4734.80;MT;66006.517;USD;312527799
2024.11.30;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Nylon;6372.81;MT;65556.473;USD;417778663
2024.12.31;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Nylon;6251.75;MT;68406.754;USD;427661598
2025.01.31;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Nylon;4911.45;MT;51305.066;USD;251982242
2025.02.28;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Nylon;5208.94;MT;42754.221;USD;222704029
2025.03.31;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Nylon;5104.16;MT;60005.925;USD;306279893
2025.04.30;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Nylon;5974.74;MT;63006.221;USD;376446012
2025.05.31;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Nylon;6960.88;MT;58805.806;USD;409340166
2025.06.30;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Nylon;5036.09;MT;55205.451;USD;278019471
2024.07.31;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Denim;7165.54;MT;29618.602;USD;212233317
2024.08.31;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Denim;5291.66;MT;32736.350;USD;173229497
2024.09.30;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Denim;6054.83;MT;33748.814;USD;204343372
2024.10.31;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Denim;5268.44;MT;35355.901;USD;186270270
2024.11.30;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Denim;7122.60;MT;35114.838;USD;250108913
2024.12.31;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Denim;5105.80;MT;36641.570;USD;187084488
2025.01.31;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Denim;5129.46;MT;27481.177;USD;140963656
2025.02.28;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Denim;5899.61;MT;22900.981;USD;135106840
2025.03.31;Shanghai Loom Trading (Pte.) Ltd.;China;East Asia;Denim;5862.74;MT;32141.728;USD;188438619
